iter	Passed	Remaining
0	10	5365
1	21	5269
2	31	5236
3	42	5319
4	55	5485
5	67	5542
6	78	5549
7	89	5506
8	100	5495
9	111	5454
10	121	5399
11	132	5383
12	143	5360
13	154	5364
14	164	5325
15	176	5327
16	187	5313
17	197	5288
18	208	5279
19	218	5253
20	228	5217
21	239	5207
22	249	5175
23	260	5164
24	271	5162
25	282	5147
26	292	5130
27	303	5119
28	315	5117
29	325	5106
30	336	5090
31	347	5076
32	358	5072
33	369	5066
34	380	5051
35	390	5034
36	400	5013
37	412	5011
38	422	4998
39	434	4991
40	444	4971
41	453	4950
42	465	4943
43	475	4929
44	486	4914
45	495	4895
46	506	4885
47	517	4874
48	527	4850
49	537	4833
50	547	4822
51	560	4825
52	570	4815
53	580	4790
54	589	4768
55	598	4748
56	609	4740
57	620	4731
58	630	4710
59	641	4703
60	652	4694
61	664	4696
62	675	4688
63	685	4672
64	697	4668
65	707	4650
66	716	4631
67	725	4607
68	735	4594
69	748	4597
70	757	4578
71	769	4571
72	779	4559
73	789	4547
74	799	4531
75	810	4519
76	818	4498
77	827	4476
78	837	4465
79	845	4441
80	856	4428
81	865	4412
82	877	4409
83	886	4391
84	895	4373
85	905	4359
86	914	4343
87	924	4328
88	934	4314
89	945	4306
90	955	4296
91	965	4280
92	976	4272
93	986	4259
94	995	4245
95	1006	4234
96	1016	4222
97	1024	4203
98	1035	4193
99	1044	4176
100	1053	4163
101	1065	4156
102	1076	4149
103	1086	4138
104	1096	4126
105	1106	4113
106	1116	4101
107	1125	4086
108	1135	4073
109	1145	4061
110	1156	4052
111	1166	4042
112	1178	4034
113	1186	4018
114	1196	4004
115	1206	3993
116	1216	3983
117	1227	3974
118	1236	3960
119	1247	3951
120	1259	3944
121	1270	3935
122	1280	3925
123	1290	3913
124	1301	3903
125	1311	3892
126	1320	3879
127	1330	3867
128	1341	3859
129	1351	3845
130	1361	3834
131	1371	3824
132	1382	3813
133	1392	3802
134	1402	3791
135	1412	3781
136	1421	3766
137	1431	3756
138	1443	3748
139	1452	3734
140	1462	3723
141	1471	3709
142	1481	3698
143	1492	3689
144	1502	3677
145	1513	3669
146	1524	3660
147	1533	3646
148	1542	3633
149	1551	3619
150	1562	3612
151	1574	3603
152	1584	3594
153	1593	3579
154	1603	3567
155	1612	3556
156	1621	3542
157	1631	3532
158	1641	3519
159	1651	3509
160	1662	3499
161	1671	3486
162	1682	3478
163	1692	3467
164	1702	3456
165	1713	3447
166	1724	3439
167	1736	3432
168	1745	3418
169	1755	3407
170	1765	3397
171	1778	3390
172	1788	3380
173	1796	3366
174	1806	3355
175	1815	3343
176	1825	3330
177	1835	3320
178	1844	3308
179	1854	3297
180	1863	3284
181	1875	3277
182	1885	3265
183	1894	3253
184	1902	3240
185	1912	3228
186	1923	3220
187	1933	3208
188	1942	3195
189	1954	3188
190	1967	3183
191	1978	3173
192	1988	3162
193	1996	3148
194	2005	3137
195	2015	3126
196	2025	3115
197	2035	3104
198	2045	3094
199	2055	3083
200	2065	3072
201	2073	3059
202	2081	3045
203	2090	3033
204	2100	3023
205	2109	3011
206	2118	2999
207	2126	2985
208	2138	2977
209	2148	2967
210	2160	2959
211	2171	2949
212	2180	2938
213	2191	2928
214	2199	2915
215	2208	2903
216	2217	2892
217	2228	2882
218	2237	2870
219	2246	2859
220	2256	2848
221	2265	2836
222	2274	2824
223	2284	2814
224	2294	2804
225	2305	2795
226	2315	2784
227	2323	2771
228	2332	2760
229	2343	2751
230	2353	2741
231	2362	2728
232	2373	2719
233	2382	2708
234	2390	2695
235	2400	2685
236	2409	2673
237	2418	2661
238	2427	2650
239	2436	2639
240	2445	2627
241	2456	2618
242	2464	2606
243	2474	2596
244	2484	2586
245	2495	2577
246	2505	2566
247	2515	2555
248	2523	2544
249	2533	2533
250	2542	2521
251	2552	2512
252	2561	2500
253	2570	2489
254	2580	2479
255	2591	2469
256	2599	2458
257	2609	2447
258	2618	2436
259	2627	2425
260	2636	2414
261	2646	2403
262	2655	2392
263	2666	2383
264	2675	2373
265	2685	2362
266	2694	2351
267	2705	2341
268	2714	2331
269	2726	2322
270	2737	2313
271	2750	2305
272	2763	2297
273	2773	2287
274	2785	2278
275	2797	2270
276	2808	2260
277	2819	2251
278	2830	2241
279	2840	2232
280	2853	2223
281	2867	2216
282	2878	2207
283	2889	2197
284	2901	2188
285	2910	2177
286	2921	2168
287	2931	2157
288	2943	2149
289	2957	2141
290	2968	2131
291	2979	2122
292	2988	2111
293	3001	2102
294	3013	2094
295	3025	2085
296	3038	2077
297	3061	2075
298	3072	2065
299	3082	2055
300	3093	2045
301	3102	2034
302	3113	2024
303	3122	2013
304	3132	2002
305	3143	1992
306	3154	1983
307	3165	1973
308	3175	1962
309	3184	1952
310	3194	1941
311	3202	1929
312	3210	1917
313	3219	1907
314	3230	1896
315	3239	1886
316	3249	1875
317	3260	1865
318	3269	1855
319	3280	1845
320	3289	1834
321	3299	1824
322	3311	1814
323	3321	1804
324	3331	1793
325	3342	1784
326	3351	1773
327	3361	1762
328	3370	1751
329	3380	1741
330	3389	1730
331	3399	1720
332	3409	1709
333	3416	1697
334	3425	1687
335	3436	1677
336	3446	1667
337	3455	1656
338	3465	1645
339	3476	1636
340	3485	1625
341	3495	1614
342	3504	1604
343	3513	1593
344	3524	1583
345	3534	1573
346	3544	1562
347	3553	1552
348	3562	1541
349	3572	1531
350	3582	1520
351	3593	1510
352	3603	1500
353	3614	1490
354	3624	1480
355	3634	1470
356	3644	1459
357	3651	1448
358	3661	1438
359	3671	1427
360	3681	1417
361	3691	1407
362	3700	1396
363	3708	1385
364	3719	1375
365	3728	1365
366	3737	1354
367	3745	1343
368	3753	1332
369	3763	1322
370	3771	1311
371	3780	1300
372	3789	1290
373	3798	1279
374	3807	1269
375	3817	1258
376	3828	1249
377	3839	1239
378	3848	1228
379	3858	1218
380	3867	1208
381	3876	1197
382	3887	1187
383	3894	1176
384	3903	1166
385	3913	1155
386	3921	1144
387	3930	1134
388	3940	1124
389	3949	1114
390	3959	1103
391	3969	1093
392	3980	1083
393	3990	1073
394	4002	1063
395	4012	1053
396	4021	1043
397	4031	1033
398	4043	1023
399	4052	1013
400	4061	1002
401	4069	992
402	4077	981
403	4087	971
404	4096	960
405	4107	950
406	4116	940
407	4131	931
408	4141	921
409	4153	911
410	4162	901
411	4172	891
412	4183	881
413	4191	870
414	4200	860
415	4210	850
416	4221	840
417	4232	830
418	4242	820
419	4250	809
420	4260	799
421	4268	788
422	4279	778
423	4286	768
424	4293	757
425	4301	747
426	4311	737
427	4321	727
428	4332	717
429	4343	707
430	4356	697
431	4366	687
432	4376	677
433	4386	667
434	4398	657
435	4409	647
436	4418	637
437	4429	626
438	4439	616
439	4446	606
440	4455	596
441	4466	586
442	4476	576
443	4485	565
444	4494	555
445	4506	545
446	4519	535
447	4529	525
448	4542	515
449	4553	505
450	4563	495
451	4570	485
452	4581	475
453	4590	465
454	4599	454
455	4609	444
456	4617	434
457	4626	424
458	4635	414
459	4644	403
460	4655	393
461	4663	383
462	4673	373
463	4681	363
464	4689	352
465	4698	342
466	4706	332
467	4714	322
468	4722	312
469	4731	302
470	4742	292
471	4753	281
472	4763	271
473	4771	261
474	4779	251
475	4788	241
476	4798	231
477	4805	221
478	4815	211
479	4825	201
480	4834	190
481	4842	180
482	4851	170
483	4861	160
484	4870	150
485	4880	140
486	4888	130
487	4897	120
488	4906	110
489	4916	100
490	4926	90
491	4936	80
492	4946	70
493	4956	60
494	4964	50
495	4974	40
496	4984	30
497	4994	20
498	5005	10
499	5014	0
